1	5	53	3	105	5	157	3	209	2
2	3	54	1	106		158	5	210	4
3	1	55	4	107	5	159	2	211	2
4	3	56	4	108	3	160	2	212	4
5	4	57	2	109	4	161	2	213	1
6	1	58	4	110	5	162	5	214	4
7	3	59	1	111	4	163	2	215	1
8	2	60	4	112	2	164	3	216	5
9	5	61	1	113		165	5	217	4
10	1	62	2	114	1	166	2	218	1
11	4	63	1	115	3	167	4	219	3
12	5	64	3	116	4	168	2	220	3
13	2	65	2	117	4	169	3	221	4
14	4	66	2	118	5	170	3	222	4
15	2	67	3	119	4	171	3	223	2
16	1	68	3	120	4	172	2	224	3
17	3	69	4	121	4	173	4	225	4
18	5	70	4	122	3	174	4	226	2
19	3	71	1	123	4	175	1	227	2
20	4	72	2	124	3	176	5	228	2
21	3	73	3	125	3	177	1	229	3
22	2	74	4	126	5	178	1	230	2
23	5	75	1	127	3	179	3	231	1
24	4	76	3	128	4	180	2	232	4
25	3	77	4	129	4	181	3	233	3
26	4	78	3	130	3	182	4	234	3
27	3	79	3	131		183	3	235	1
28	4	80	4	132	1	184	4	236	1
29	5	81	3	133		185	3	237	3
30	3	82	3	134	3	186	2	238	2
31	5	83	4	135	2	187	4	239	2
32	5	84	4	136	2	188	3	240	2
33	2	85	5	137	4	189	2	241	1
34	1	86	3	138	2	190	5	242	2
35	3	87	3	139	4	191	4	243	1
36	5	88	4	140	4	192	4	244	5
37	3	89	3	141	3	193	4	245	2
38	3	90	2	142	2	194	5	246	4
39	3	91	5	143	4	195	3	247	5
40	3	92	5	144	2	196	4	248	1
41	4	93	4	145	2	197	3	249	2
42	2	94	1	146	3	198	3	250	4
43	4	95	5	147	3	199	4	251	2
44	2	96		148	3	200		252	5
45	2	97	4	149	2	201	1	253	1
46	3	98	4	150	4	202	3	254	1
47	5	99	1	151	3	203	4	255	5
48	4	100	5	152	5	204	1	256	4
49	5	101	5	153	2	205	2	257	3
50	5	102	3	154	1	206	3	258	5
51	4	103	5	155	1	207	5	259	2
52	5	104	4	156	3	208	2	260	4
