1	1	48	3	95	1	142	2	189	3
2	3	49	2	96	2	143	4	190	3
3	5	50	2	97	3	144	3	191	1
4	3	51	3	98	2	145	2	192	3
5	4	52	5	99	3	146	5	193	4
6	1	53	3	100	5	147	4	194	2
7	4	54	5	101	1	148	5	195	1
8	5	55	3	102	2	149	3	196	4
9	3	56	4	103	2	150	4	197	2
10	2	57	3	104	2	151	2	198	4
11	1	58	1	105	2	152	2	199	5
12	4	59	5	106	4	153	2	200	
13	3	60	1	107	5	154	1	201	2
14	4	61	5	108	2	155	5	202	4
15	3	62	4	109	1	156	4	203	1
16	5	63	2	110	2	157	3	204	2
17	4	64	2	111	3	158	5	205	5
18	3	65	1	112	2	159	1	206	5
19	4	66	4	113	1	160	5	207	
20	3	67	1	114	5	161	2	208	4
21	5	68	3	115	5	162	5	209	3
22	4	69	5	116	1	163	1	210	1
23	5	70	3	117	4	164	5	211	3
24	3	71	4	118	1	165	2	212	
25	2	72	1	119	5	166	3	213	4
26	2	73	4	120	4	167	1	214	2
27	5	74	3	121	4	168	5	215	5
28	4	75	4	122	1	169	4	216	1
29	1	76	3	123		170	5	217	3
30	5	77	4	124	4	171	3	218	1
31	2	78	2	125	2	172	2	219	1
32	1	79	5	126	2	173	3	220	1
33	2	80	1	127	2	174	1	221	3
34	5	81	5	128		175	1	222	3
35	1	82	5	129	2	176	4	223	4
36	4	83	3	130	1	177	1	224	1
37	3	84	5	131	2	178	3	225	5
38	4	85	2	132	5	179	4	226	4
39	1	86	5	133	3	180	1	227	4
40	3	87	1	134	1	181	2	228	1
41	3	88	1	135	3	182	1	229	5
42	1	89	3	136	1	183	2	230	1
43	3	90	4	137	5	184	3	231	5
44	4	91	2	138		185	2	232	5
45	3	92	4	139	3	186	5	233	
46	4	93	2	140	4	187	3	234	2
47	5	94	4	141	4	188	1	235	5
