1	2	48	1	95	4	142	3	189	
2	2	49	3	96	1	143	3	190	1
3	2	50	3	97	4	144	4	191	2
4	3	51	2	98	3	145	1	192	1
5	2	52	2	99	3	146	3	193	1
6	2	53	1	100	3	147	1	194	2
7	2	54	2	101	2	148	3	195	4
8	2	55	3	102	1	149	3	196	1
9	4	56	1	103	3	150	4	197	2
10	3	57	3	104	1	151	1	198	1
11	3	58	1	105	1	152	3	199	2
12	1	59	2	106	3	153	1	200	1
13	2	60	2	107	1	154	2	201	4
14	1	61		108	4	155	3	202	3
15	4	62	4	109	3	156	3	203	1
16	2	63	1	110	1	157	2	204	1
17	4	64	4	111	3	158	2	205	
18	4	65	4	112	2	159	2	206	3
19	4	66	4	113	1	160	2	207	1
20	3	67	1	114	3	161	2	208	3
21	1	68	1	115	1	162	4	209	4
22	4	69	3	116	3	163	2	210	3
23	2	70	2	117	1	164	3	211	2
24	1	71	4	118	4	165	1	212	4
25	2	72	2	119	3	166	3	213	3
26	1	73	1	120	2	167	1	214	3
27	1	74	3	121	1	168	4	215	2
28	2	75	2	122	2	169	4	216	1
29	1	76	3	123	3	170	4	217	2
30	2	77	4	124	2	171	3	218	1
31	2	78	1	125	1	172	1	219	2
32	3	79	3	126	2	173	2	220	2
33	2	80	2	127	1	174	3	221	3
34	4	81	1	128	2	175	4	222	4
35	2	82	3	129	2	176	3	223	2
36		83	3	130	4	177	3	224	3
37	1	84	3	131	2	178	4	225	4
38	4	85	1	132	1	179	3	226	2
39	4	86	1	133	2	180	1	227	3
40	3	87	3	134	2	181	2	228	1
41	2	88	3	135	4	182	4	229	3
42	1	89	3	136	4	183	3	230	2
43	3	90	4	137	4	184	4	231	1
44	1	91	3	138	3	185	3	232	3
45	2	92	2	139	2	186	1	233	3
46	4	93	4	140	3	187	3	234	4
47	2	94	1	141	3	188	2	235	3
